,UNITID,INSTNM,CITY,STABBR,ZIP,ADM_RATE,UGDS,TUITIONFEE_IN,MN_EARN_WNE_P10
6693,11710401,Life Pacific University-Virginia,Christiansburg,VA,24073,,,7228.0,
6717,12697901,Denver Seminary - Washington DC,Landover,MD,207852414,,,,
6725,13090701,Delaware Technical Community College-Owens,Georgetown,DE,19947,,,4848.0,
6726,13090702,Delaware Technical Community College-Stanton/Wilmington,Wilmington,DE,19801,,,4848.0,
6727,13180301,Strayer University-Takoma Park Campus,Washington,DC,20012,,,13857.0,
6799,16165101,Aesthetics Institute of Cosmetology - Winchester,Winchester,VA,226015914,,,,
6800,16210401,Cecil College - Elkton Station,Elkton,MD,219215535,,,4005.0,
6899,20651601,Winebrenner Theological Seminary -,Scotland,PA,172540473,,,,
6904,21078401,The Beauty Institute,Philadelphia,PA,19115,,,,
6905,21130701,Bucks County Community College-Upper Bucks Campus,Perkasie,PA,189440277,,,4418.0,
6906,21130702,Bucks County Community College-Lower Bucks Campus,Bristol,PA,190070277,,,4418.0,
6907,21287801,Harrisburg Area Community College-Lancaster,Lancaster,PA,176023403,,,6473.0,
6908,21287802,Harrisburg Area Community College-Gettysburg,Gettysburg,PA,173253403,,,6473.0,
6909,21287803,Harrisburg Area Community College-Lebanon,Lebanon,PA,170425235,,,6473.0,
6910,21287804,Harrisburg Area Community College-York,York,PA,174045235,,,6473.0,
6911,21429001,New Castle School of Trades,Pulaski,PA,161432522,,,,
6913,21437901,Northampton County Area Community College-Monroe,Tannersville,PA,18372,,,4230.0,
6914,21510501,Villanova University - Summer Music Studies Program,Villanova,PA,190853699,,,,
6915,21608301,South Hills School of Business and Technology-Altoona,Altoona,PA,16602,,,16608.0,
6930,23368401,Strayer University-Alexandria Campus,Alexandria,VA,22314,,,13857.0,
6931,23368402,Strayer University-Woodbridge Campus,Woodbridge,VA,22192,,,13857.0,
6932,23368403,Strayer University-Manassas Campus,Manassas,VA,20109,,,13857.0,
6933,23368404,Strayer University-Loudoun Campus,Ashburn,VA,20147,,,13857.0,
6934,23368405,Strayer University-Fredericksburg Campus,Fredericksburg,VA,22406,,,13857.0,
6935,23368407,Strayer University-Henrico Campus,Glen Allen,VA,23059,,,13857.0,
6936,23368408,Strayer University-Chesterfield Campus,Midlothian,VA,23113,,,13857.0,
6937,23368409,Strayer University-Chesapeake Campus,Chesapeake,VA,23320,,,13857.0,
6938,23368410,Strayer University-Newport News Campus,Newport News,VA,23602,,,13857.0,
6939,23368411,Strayer University-Virginia Beach Campus,Virginia Beach,VA,23462,,,13857.0,
6959,24893401,ECPI University-Newport News,Newport News,VA,23606,,,14941.0,
6963,24893405,ECPI University-Manassas,Manassas,VA,201091603,,,15246.0,
6968,24893410,ECPI University-Culinary Institute of Virginia,Norfolk,VA,235131603,,,15108.0,
6969,24893411,ECPI University-Virginia Beach Health Sciences,Virginia Beach,VA,234621603,,,15261.0,
6970,24893412,ECPI University-Richmond South,Richmond,VA,232361603,,,14985.0,
6971,24893413,ECPI University-Innsbrook,Glen Allen,VA,230601603,,,15263.0,
6972,24893414,ECPI University-Richmond West,Richmond,VA,232941603,,,16039.0,
6973,24893415,ECPI University - Roanoke,Roanoke,VA,240121603,,,15525.0,
6984,37593901,YTI Career Institute - Altoona,Altoona,PA,166024457,,,,
7004,43018401,Strayer University-Rockville Campus,Rockville,MD,20850,,,13857.0,
7005,43018402,Strayer University-Anne Arundel Campus,Millersville,MD,21108,,,13857.0,
7006,43018403,Strayer University-White Marsh Campus,Baltimore,MD,21236,,,13857.0,
7007,43018404,Strayer University-Owings Mills Campus,Owings Mills,MD,21117,,,13857.0,
7020,44378401,Strayer University-Delaware County Campus,Springfield,PA,19064,,,13857.0,
7021,44378403,Strayer University-Center City Campus,Philadelphia,PA,19102,,,13747.0,
7022,44378404,Strayer University-Lower Bucks County Campus,Trevose,PA,19053,,,13857.0,
7023,44378405,Strayer University-Warrendale Campus,Warrendale,PA,15086,,,13857.0,
7024,44378406,Strayer University-Allentown Campus,Center Valley,PA,18034,,,13857.0,
7063,45794301,Somerset County Technology Center - Bedford Site,Bedford,PA,15522,,,,
7084,47503303,Relay Graduate School of Education - Delaware,Wilmington,DE,19801,,,,
7089,47503308,Relay Graduate School of Education - Philadelphia & Camden,Philadelphia,PA,191224906,,,,
7094,47503313,Relay Graduate School of Education - Washington D.C,Washington,DC,20002,,,,
7103,48305401,Barber School of Pittsburgh - Ambridge,Ambridge,PA,150030000,,,,
